subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.9163763066202091,0.8786549707602339,1.0,0.9888888888888888,0.8888888888888888,1.0,0.9553030303030303,0.8111111111111111,0.6511627906976745,0.8498498498498498,0.943939393939394,0.9444444444444444,0.8529411764705883,1.0,0.9373385012919896,0.9079266235510868
RF_AUC,0.9285714285714286,0.9064327485380117,1.0,0.9777777777777779,0.8611111111111112,1.0,0.8666666666666667,0.8222222222222222,0.6162790697674418,0.9444444444444444,0.943939393939394,0.9888888888888888,0.8013071895424836,1.0,0.9534883720930233,0.9074086209041929
AB_AUC,0.8571428571428572,0.9342105263157895,1.0,1.0,0.9444444444444444,1.0,0.9,0.8055555555555556,0.6162790697674418,0.972972972972973,0.9212121212121213,0.9777777777777779,0.8124183006535947,1.0,0.9069767441860466,0.9099326913352404
KN_AUC,0.9878048780487805,0.9473684210526316,1.0,0.9444444444444444,0.8772609819121446,1.0,0.9333333333333333,0.8222222222222222,1.0,0.9864864864864865,0.9106060606060606,0.8573099415204678,0.7790849673202614,0.9473684210526316,0.9069767441860466,0.9266844601457007
LDA_AUC,0.9285714285714286,0.8947368421052632,1.0,1.0,0.8888888888888888,1.0,0.9,0.7777777777777778,0.975,1.0,0.9772727272727273,0.9736842105263157,0.7607843137254903,1.0,0.9069767441860466,0.9322461955369292
SVM_AUC,0.9642857142857143,0.9342105263157895,1.0,0.9555555555555555,0.9166666666666667,1.0,0.9333333333333333,0.7833333333333334,1.0,1.0,0.9659090909090909,0.8421052631578947,0.7607843137254903,0.9736842105263157,0.8953488372093023,0.9283477896678992
GB_AUC,0.9285714285714286,0.9342105263157895,1.0,0.9888888888888888,0.9166666666666667,1.0,0.8333333333333333,0.8333333333333333,0.6511627906976745,0.9174174174174174,0.8992424242424243,0.9777777777777779,0.8823529411764706,1.0,0.9651162790697674,0.9152049204993982
DT_F1,0.888888888888889,0.8205128205128205,1.0,0.9411764705882353,0.8750000000000001,1.0,0.9333333333333333,0.75,0.5714285714285715,0.7804878048780488,0.9032258064516129,0.8837209302325582,0.8275862068965517,1.0,0.8947368421052632,0.8713398450210589
RF_F1,0.923076923076923,0.85,1.0,0.888888888888889,0.8387096774193548,1.0,0.846153846153846,0.7741935483870968,0.5479452054794521,0.9411764705882353,0.9032258064516129,0.9743589743589743,0.7333333333333334,1.0,0.9,0.8747375116091811
AB_F1,0.8333333333333333,0.878048780487805,1.0,1.0,0.9411764705882353,1.0,0.888888888888889,0.7586206896551725,0.5479452054794521,0.9473684210526316,0.8484848484848485,0.9500000000000001,0.7586206896551724,1.0,0.8181818181818181,0.8780446097204905
KN_F1,0.9655172413793104,0.9,1.0,0.761904761904762,0.8484848484848485,1.0,0.9285714285714286,0.7741935483870968,1.0,0.972972972972973,0.8666666666666667,0.8235294117647058,0.6875,0.9444444444444444,0.8181818181818181,0.8861311428505371
LDA_F1,0.923076923076923,0.8181818181818181,1.0,1.0,0.8750000000000001,1.0,0.888888888888889,0.7142857142857143,0.9743589743589743,1.0,0.9375,0.972972972972973,0.6666666666666667,1.0,0.8181818181818181,0.9059409184409185
SVM_F1,0.962962962962963,0.878048780487805,1.0,0.8,0.9090909090909091,1.0,0.9285714285714286,0.7096774193548387,1.0,1.0,0.9090909090909091,0.8125000000000001,0.6666666666666667,0.972972972972973,0.8,0.8899721366132329
GB_F1,0.923076923076923,0.878048780487805,1.0,0.9411764705882353,0.9090909090909091,1.0,0.8,0.8,0.5714285714285715,0.8888888888888888,0.8387096774193549,0.9500000000000001,0.8666666666666666,1.0,0.923076923076923,0.8860109207149518
DT_ACC,0.9454545454545454,0.875,1.0,0.9811320754716981,0.9344262295081968,1.0,0.9661016949152542,0.873015873015873,0.5238095238095238,0.8363636363636363,0.9491525423728814,0.921875,0.9193548387096774,1.0,0.9344262295081968,0.9106741459419656
RF_ACC,0.9636363636363636,0.8928571428571429,1.0,0.9622641509433962,0.9180327868852459,1.0,0.9322033898305084,0.8888888888888888,0.47619047619047616,0.9636363636363636,0.9491525423728814,0.984375,0.8709677419354839,1.0,0.9344262295081968,0.9157754051123298
AB_ACC,0.9272727272727272,0.9107142857142857,1.0,1.0,0.9672131147540983,1.0,0.9491525423728814,0.8888888888888888,0.47619047619047616,0.9636363636363636,0.9152542372881356,0.96875,0.8870967741935484,1.0,0.8688524590163934,0.9148681246218531
KN_ACC,0.9655172413793104,0.9,1.0,0.761904761904762,0.8484848484848485,1.0,0.9285714285714286,0.7741935483870968,1.0,0.972972972972973,0.8666666666666667,0.8235294117647058,0.6875,0.9444444444444444,0.8181818181818181,0.8861311428505371
LDA_ACC,0.9636363636363636,0.8571428571428571,1.0,1.0,0.9344262295081968,1.0,0.9491525423728814,0.873015873015873,0.9841269841269841,1.0,0.9661016949152542,0.984375,0.8387096774193549,1.0,0.8688524590163934,0.9479693120769439
SVM_ACC,0.9818181818181818,0.9107142857142857,1.0,0.9245283018867925,0.9508196721311475,1.0,0.9661016949152542,0.8571428571428571,1.0,1.0,0.9491525423728814,0.90625,0.8387096774193549,0.9833333333333333,0.8524590163934426,0.9414019708751685
GB_ACC,0.9636363636363636,0.9107142857142857,1.0,0.9811320754716981,0.9508196721311475,1.0,0.9152542372881356,0.9047619047619048,0.5238095238095238,0.9272727272727272,0.9152542372881356,0.96875,0.9354838709677419,1.0,0.9508196721311475,0.9231805713648542
